EventParameter,UniqueId,DTCClassRef,DemDtcValue
FAULT_ssm_IBS_V3H_MFIS_SYSDMAC_Errors,0xE5,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_MFIS_SysC_Errors,0xE4,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_MFIS_VIN_Error,0xCB,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_MFIS_VideoIO_Error,0xE1,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_MFIS_WindowWatchdogTimer_Errors,0xCE,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_MFIS_otherErrors,0xE9,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_POSTFailure,0xA7,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_ssm_IBS_V3H_RTRAMECCFailure,0x44,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_ssm_IBS_V3H_RegisterFailure,0x42,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_RegisterFailureStartup,0xA8,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_ResetCheckFailure,0xA4,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_ssm_IBS_V3H_SANRuntimeFailure,0xA5,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_ssm_IBS_V3H_SANStartUpFailure,0xA3,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_ssm_IBS_V3H_SPICommInvalidCRC,0x69,DTC_MPC3_ECUSoftwareFailure,0x59FFFF
FAULT_ssm_IBS_V3H_SafeIslandHighTemperatureProtection,0x23,DTC_MPC3_TemporaryHighTemp,0x62FFE0
FAULT_ssm_IBS_V3H_ShutDownBroadReachFailure,0x45,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_ShutDownCAN0Failure,0x46,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_TemperatureDifferenceFailure,0x47,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_TemperatureSensorFailure,0x48,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_V3H_UnIntendedResetSafetyModuleFailure,0xA6,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_ssm_IBS_V3H_WatchdogWrongChallenge,0x49,DTC_MPC3_ECUSoftwareFailure,0x59FFFF
FAULT_ssm_IBS_V3H_WrongWatchdogCounter,0x4A,DTC_MPC3_ECUSoftwareFailure,0x59FFFF
FAULT_ssm_ISP_RPU_MFISFailure,0xAC,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_umfAdapter_BoschIP_UMF_MBISTFailure,0x76,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_umfAdapter_BoschIP_UMF_SCAN1Failure,0x94,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_umfAdapter_BoschIP_UMF_SCAN2Failure,0x95,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_vespa_GVCParametersUpdated_Failure,0xF101,DTC_MPC3_ParametersUpdated,0x51FFE2
FAULT_vespa_GVC_Parameterization_Missing,0xF100,DTC_MPC3_GVCMissing,0x4EFFE2
Fault_VIN_Mismatch,0xF11B,DTC_MPC3_VINMismatch,0x53FFFF
Fault_ov_net_wakeuppulse_low_too_long,0xF10F,DTC_MPC3_WakeupLine_OutOfSpec,0x68FFE8
Fault_ov_net_wakeuppulse_low_too_short,0xF10E,DTC_MPC3_WakeupLine_OutOfSpec,0x68FFE8
